number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7549403333333333,2021-08-08 08:04:19.371970,2021-08-08 08:04:22.649309,0 days 00:00:03.277339,0.7255612736788518,0.7932823531872437,0.43177721031162064,0.00010933602017251199,8.82812363019439e-05,lossguide,0.00013729042463338388,4,0.5937525847721257,0.2948808552113141,213,COMPLETE
1,0.803061,2021-08-08 08:04:22.649780,2021-08-08 08:04:25.097212,0 days 00:00:02.447432,0.0006550263453028765,0.9901802450514641,0.9972985206176959,0.37283102541173296,0.001524884757343972,lossguide,6.705646907938977e-07,3,4.902464418790408,0.5710357723920639,168,COMPLETE
2,0.74307,2021-08-08 08:04:25.097651,2021-08-08 08:04:27.173052,0 days 00:00:02.075401,1.4258634845385134e-07,0.9004016303279119,0.23879346964289266,0.0001149941744353718,0.02535309455312431,depthwise,0.0991146954036345,3,0.21038454012800273,0.2311725410436802,127,COMPLETE
3,0.7660483333333333,2021-08-08 08:04:27.173497,2021-08-08 08:04:29.366496,0 days 00:00:02.192999,4.679591576668138e-07,0.8480982607597509,0.5007332308796422,4.8069485965007625e-05,0.04914398696486046,depthwise,0.359367412205095,5,0.014599838728454505,0.9631929389202694,75,COMPLETE
4,0.7918309999999998,2021-08-08 08:04:29.366943,2021-08-08 08:04:50.427675,0 days 00:00:21.060732,2.5443513953180466e-08,0.29646990127967643,0.9640749460409761,3.3724467896939585e-07,3.0917022123216645e-07,lossguide,1.2621653373411616e-05,9,1.3632962899028247,0.6124790341766402,338,COMPLETE
5,0.7902506666666667,2021-08-08 08:04:50.428097,2021-08-08 08:04:55.187313,0 days 00:00:04.759216,0.24778642155760594,0.6321955047670029,0.6591486053373805,1.849970830275922e-05,0.2985238486891742,depthwise,3.221756489833135e-05,8,0.056262482409490194,0.2719448014639736,77,COMPLETE
6,0.7271476666666666,2021-08-08 08:04:55.187740,2021-08-08 08:04:57.733926,0 days 00:00:02.546186,6.509754826187992e-07,0.4031292518619057,0.41332109533248396,2.7098002810999037e-08,0.004401937605908604,depthwise,0.00015223777517267366,2,11.191286917321225,0.668362305539675,219,COMPLETE
7,0.7291843333333333,2021-08-08 08:04:57.734352,2021-08-08 08:05:00.226832,0 days 00:00:02.492480,0.9462474914417501,0.5360659393727573,0.7240562876354428,2.080452704987997e-05,0.001415548711318058,lossguide,0.01212821293718463,2,6.542702590332362,0.9033817574856877,205,COMPLETE
8,0.7832803333333332,2021-08-08 08:05:00.227248,2021-08-08 08:05:03.927028,0 days 00:00:03.699780,2.1891344458358884e-08,0.23308107546751133,0.9954663493721079,1.1604064917979552e-05,0.0074894713892363655,lossguide,3.186365132959577e-08,7,0.1568104203732663,0.25442022691671345,94,COMPLETE
9,0.7924579999999999,2021-08-08 08:05:03.927448,2021-08-08 08:05:12.361887,0 days 00:00:08.434439,2.7642148338112207e-05,0.4116115482929167,0.6988992248652537,9.877030261510705e-07,2.100105772680474e-08,lossguide,0.2608621104915624,9,3.818574327062085,0.45163379432367634,125,COMPLETE
10,0.7879459999999999,2021-08-08 08:05:12.362325,2021-08-08 08:05:15.335139,0 days 00:00:02.972814,0.003244206701147964,0.6976752146673735,0.8309626705674606,0.5734176905837194,2.280525491627252e-05,lossguide,1.1854226515231187e-08,1,16.84326363491716,0.7745687547565049,318,COMPLETE
11,0.8007703333333334,2021-08-08 08:05:15.335586,2021-08-08 08:05:17.340304,0 days 00:00:02.004718,3.974033739310335e-05,0.46731792850925336,0.8245001221962448,0.3086950426088439,3.2795059284076215e-08,lossguide,7.013243503985223e-07,6,2.6239744907732274,0.4569971010137808,39,COMPLETE
12,0.780119,2021-08-08 08:05:17.340738,2021-08-08 08:05:18.949448,0 days 00:00:01.608710,0.0003938271221550083,0.5134732369294268,0.8556127827747682,0.9875837036389776,5.1675314781886505e-06,lossguide,5.567955019566511e-07,6,1.8889148506553886,0.4894595089734952,8,COMPLETE
13,0.8100673333333335,2021-08-08 08:05:18.949882,2021-08-08 08:05:46.751215,0 days 00:00:27.801333,1.860947934336654e-05,0.9735662904890313,0.8439141772098531,0.011195122282051658,2.7773527133808537e-06,lossguide,1.000211482693212e-06,5,2.12575739765206,0.48853242550508347,2479,COMPLETE
14,0.808856,2021-08-08 08:05:46.751652,2021-08-08 08:07:05.538591,0 days 00:01:18.786939,0.006418549118664855,0.9993107116596215,0.8936218608307609,0.004427460070104196,1.4517660289660638e-06,lossguide,9.031486336309913e-07,4,0.534567692273963,0.7384820548982696,8864,COMPLETE
15,0.8093073333333334,2021-08-08 08:07:05.539047,2021-08-08 08:07:44.226663,0 days 00:00:38.687616,0.02908558290274001,0.9523692466156573,0.861341760021086,0.007843148813641091,1.4643020560827263e-06,lossguide,3.3515945917037313e-06,5,0.8154363981926467,0.7778150819016592,3369,COMPLETE
16,0.8094956666666667,2021-08-08 08:07:44.227113,2021-08-08 08:08:06.964609,0 days 00:00:22.737496,5.446130131552349e-06,0.738157862422666,0.5710303923351988,0.014603129750356283,3.9884284351865514e-07,lossguide,0.0011588903702286972,5,0.9512036805327608,0.7544945196390573,2111,COMPLETE
