number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.640137,2021-08-08 10:04:30.568353,2021-08-08 10:04:32.216943,0 days 00:00:01.648590,1.5707904573662437e-08,0.6672434169595594,0.6094183432960159,1.3361991247745547e-06,0.017443302549510528,lossguide,4.1269870168395045e-06,1,3.4140506647656026,0.3913100948322121,47,COMPLETE
1,0.6068513333333333,2021-08-08 10:04:32.217415,2021-08-08 10:04:33.357228,0 days 00:00:01.139813,2.436195404386216e-07,0.8879399530751937,0.8623939020718248,6.176675101823784e-06,0.0023390946105103175,depthwise,6.396875411433782e-07,1,7.119609222900839,0.9620951942898781,3,COMPLETE
2,0.8025513333333333,2021-08-08 10:04:33.357680,2021-08-08 10:04:38.555656,0 days 00:00:05.197976,0.014146329764167137,0.3345991389577825,0.9379337415721882,0.4111619291114826,4.814137574627956e-07,depthwise,2.1937913341911423e-08,2,3.8705242249134644,0.5404216317727909,649,COMPLETE
3,0.7871243333333333,2021-08-08 10:04:38.556092,2021-08-08 10:04:58.393682,0 days 00:00:19.837590,0.055442739397087104,0.6195367938265064,0.44207876711934385,0.023784174941940534,0.005910424541063785,depthwise,4.5988692170187487e-07,1,0.41776078379336967,0.30320098162567616,3350,COMPLETE
4,0.7877090000000001,2021-08-08 10:04:58.394131,2021-08-08 10:05:29.069314,0 days 00:00:30.675183,1.0398438227261544e-08,0.45883862911945594,0.9238390650028125,0.02717489050638363,4.712917464349074e-07,lossguide,0.08917864197811959,1,0.5306097739861969,0.8803483256012865,5095,COMPLETE
5,0.8053976666666666,2021-08-08 10:05:29.069746,2021-08-08 10:05:37.836277,0 days 00:00:08.766531,0.05193516328477237,0.8616092211626902,0.7543376151535319,0.20766104425229215,3.236437208791644e-08,lossguide,2.2423183583404457e-07,2,1.9365872591183584,0.8826391628712082,1187,COMPLETE
6,0.8060823333333333,2021-08-08 10:05:37.836721,2021-08-08 10:05:45.361157,0 days 00:00:07.524436,4.9399691807049336e-08,0.9095179056272138,0.8827660752278186,0.043495432121699124,2.65928135685147e-06,depthwise,9.914084489929398e-05,4,0.01050783361678012,0.3598069586331719,753,COMPLETE
7,0.8102513333333334,2021-08-08 10:05:45.361589,2021-08-08 10:08:13.019057,0 days 00:02:27.657468,0.005480906695572856,0.9853175640667842,0.9015831582316198,0.0014152326607054775,2.3355462566915726e-05,depthwise,9.98794779769819e-08,6,4.118071655236534,0.68265347850333,10000,COMPLETE
8,0.8061096666666666,2021-08-08 10:08:13.019506,2021-08-08 10:08:19.435236,0 days 00:00:06.415730,0.003997954750216222,0.8971229868081154,0.22759505242956868,0.0794080364812525,0.00724191623174447,depthwise,0.2082680636003425,9,2.8988045063714094,0.3114662637285867,183,COMPLETE
9,0.7832536666666666,2021-08-08 10:08:19.435664,2021-08-08 10:08:24.800898,0 days 00:00:05.365234,2.8515854223593493e-06,0.6152325023650134,0.9999598943340211,1.5024458745935924e-06,0.00010202415261655024,depthwise,1.6350822218555328e-07,8,4.181105990778253,0.9743995663703229,70,COMPLETE
10,0.776323,2021-08-08 10:08:24.801324,2021-08-08 10:08:29.882204,0 days 00:00:05.080880,0.00024005436579166913,0.9982341526127563,0.6772733600317815,2.1722104663316005e-08,5.519170888892519e-05,depthwise,0.0017990029822487162,6,17.98177987626967,0.6787644533904036,225,COMPLETE
11,0.7759023333333334,2021-08-08 10:08:29.882642,2021-08-08 10:08:36.257949,0 days 00:00:06.375307,0.0009914423118599332,0.7341909624609071,0.21784572276466507,0.0007351240014564338,0.5806203573709886,depthwise,0.6819285227639165,9,0.6018735543448545,0.6452127443379717,97,COMPLETE
12,0.8091326666666666,2021-08-08 10:08:36.258387,2021-08-08 10:11:09.463724,0 days 00:02:33.205337,0.5054491264344702,0.7770870733103687,0.42194316735640347,0.0016245508085026374,9.237681381723609e-05,depthwise,0.0028576641942472648,7,0.05168634564940369,0.20179639565227778,8846,COMPLETE
13,0.7717086666666667,2021-08-08 10:11:09.464184,2021-08-08 10:11:11.333625,0 days 00:00:01.869441,0.895339399628793,0.7381610622266704,0.4354277139384395,0.0005616734449773722,3.856136754444398e-05,depthwise,0.0037656400474152716,6,0.02586019883653251,0.505449008664772,24,COMPLETE
14,0.783442,2021-08-08 10:11:11.334069,2021-08-08 10:11:16.275043,0 days 00:00:04.940974,0.6348033627349908,0.7893115536744792,0.4529219823307976,0.0006021528762451304,0.00037121206471897616,depthwise,4.3610979124437104e-05,7,0.07267036476598754,0.21040006223922653,158,COMPLETE
15,0.7555466666666667,2021-08-08 10:11:16.275486,2021-08-08 10:11:18.254163,0 days 00:00:01.978677,1.589522864293206e-05,0.4812218446194955,0.5313024744951614,4.918294317134869e-05,4.935814927632259e-06,lossguide,0.0031690964726437446,4,0.11852907112721779,0.7614185948100642,86,COMPLETE
16,0.808423,2021-08-08 10:11:18.254601,2021-08-08 10:12:43.416079,0 days 00:01:25.161478,0.08674911854001027,0.2065655419407877,0.32114819567653424,0.004584223227096577,1.1354204859925196e-08,depthwise,1.528409000111185e-05,5,0.12860615382953636,0.4759070501763226,8835,COMPLETE
17,0.7819186666666665,2021-08-08 10:12:43.416527,2021-08-08 10:12:49.228190,0 days 00:00:05.811663,0.0009384640043749848,0.9872316291645418,0.7789008858822479,4.9028684383725735e-05,0.12428311851073369,depthwise,0.000999490034176838,7,1.0612545542668745,0.7454267579316192,155,COMPLETE
18,0.8066970000000001,2021-08-08 10:12:49.228680,2021-08-08 10:14:07.498570,0 days 00:01:18.269890,3.835309647599609e-05,0.7910900556362195,0.3419058275679734,0.002803046872987544,0.0007682719597569373,lossguide,1.2942823836701535e-08,7,0.04222986383260571,0.20338866938625028,4175,COMPLETE
19,0.7676569999999999,2021-08-08 10:14:07.499034,2021-08-08 10:14:09.479486,0 days 00:00:01.980452,0.006502307845361432,0.809924749543199,0.575577208476355,1.020964524582143e-05,1.0111221288917051e-05,depthwise,0.00036920494792092387,5,0.2003007255882898,0.5896878957417875,54,COMPLETE
20,0.8101923333333333,2021-08-08 10:14:09.479944,2021-08-08 10:15:37.763548,0 days 00:01:28.283604,0.34358875914391956,0.528668502350308,0.6974282495865216,0.003703061773278623,5.770125228798666e-07,depthwise,0.012003904391062357,8,0.010467252664675826,0.755311540205283,3063,COMPLETE
21,0.8098043333333332,2021-08-08 10:15:37.764006,2021-08-08 10:16:39.694562,0 days 00:01:01.930556,0.24159826519368316,0.4897419033486549,0.7688961732381544,0.004725596724947183,3.9374015667158576e-07,depthwise,0.015947905979467557,8,0.011746925031000176,0.7839439113850635,2115,COMPLETE
22,0.8097989999999999,2021-08-08 10:16:39.695036,2021-08-08 10:17:21.911798,0 days 00:00:42.216762,0.14590311021490743,0.4945451724431399,0.7692769048562951,0.008647961643371357,1.7998547837650926e-07,depthwise,0.07892729358139244,8,0.01207595209715618,0.7796279313118132,1442,COMPLETE
23,0.8095363333333334,2021-08-08 10:17:21.912238,2021-08-08 10:17:58.126189,0 days 00:00:36.213951,0.024809013038561766,0.4027551779126682,0.6929057774587551,0.00825936065179625,1.325486993498269e-07,depthwise,0.018669045056724214,8,0.027777118310769948,0.8309405166571692,1249,COMPLETE
24,0.7775286666666666,2021-08-08 10:17:58.126634,2021-08-08 10:18:00.301647,0 days 00:00:02.175013,0.0018056628250198293,0.5360854342611568,0.8405168596840674,0.0002304855202413685,3.4535511737816624e-06,depthwise,0.015912314694392214,6,12.698694612787616,0.6635574142590418,37,COMPLETE
25,0.8039379999999999,2021-08-08 10:18:00.302095,2021-08-08 10:25:44.334388,0 days 00:07:44.032293,0.1559620358032037,0.344147569730482,0.6763187177862396,0.0002359983092106849,1.2296871900212366e-06,depthwise,0.014107042284142534,9,0.01760058428978953,0.7140812635877654,10000,COMPLETE
26,0.8091606666666666,2021-08-08 10:25:44.334849,2021-08-08 10:26:22.333774,0 days 00:00:37.998925,0.0001698334982018688,0.5490645056164188,0.8205409001462108,0.009612747113784298,2.1314184571020244e-05,lossguide,0.00027585595997139966,8,0.2181104271862506,0.8171195540248184,1037,COMPLETE
27,0.7894946666666667,2021-08-08 10:26:22.334202,2021-08-08 10:26:23.674925,0 days 00:00:01.340723,0.01646417307611446,0.6808380471082218,0.996883870507749,0.8302094619517737,7.23256191285426e-08,depthwise,2.917919146392575e-06,4,1.452442330308255,0.5827004916853055,22,COMPLETE
28,0.7758819999999998,2021-08-08 10:26:23.675350,2021-08-08 10:26:28.717511,0 days 00:00:05.042161,0.30368166993701207,0.39783859066742194,0.7209802842545796,0.00011380884281741297,7.724147565425181e-07,depthwise,0.4296730886551637,6,0.019786209264564307,0.885750577015548,253,COMPLETE
29,0.7868913333333335,2021-08-08 10:26:28.717942,2021-08-08 10:26:34.984183,0 days 00:00:06.266241,0.004353697531509991,0.5624217042406803,0.6244950004096762,3.686950679464865e-08,1.0460614494312273e-08,lossguide,5.066443774972701e-06,8,6.889898556303341,0.7147698133192744,124,COMPLETE
30,0.7930506666666667,2021-08-08 10:26:34.984601,2021-08-08 10:26:55.225493,0 days 00:00:20.240892,0.03794766683471976,0.6662073736430358,0.6212145887399094,2.0365127909641337e-07,1.2555661705261833e-05,depthwise,0.03288465320331563,9,0.04227691701928835,0.6419053695557428,330,COMPLETE
31,0.8099673333333334,2021-08-08 10:26:55.225913,2021-08-08 10:28:58.937721,0 days 00:02:03.711808,0.1285530115651069,0.4770210922571066,0.7912830461363987,0.002441424212091417,1.7869451353777127e-07,depthwise,0.1337816314429065,8,0.010969336322810474,0.816101426496076,4321,COMPLETE
32,0.8102456666666668,2021-08-08 10:28:58.938162,2021-08-08 10:31:48.151816,0 days 00:02:49.213654,0.1903157086534739,0.43229967478158104,0.8033761088389823,0.0015726318956590217,4.956024690720365e-08,depthwise,0.12515518242681284,7,0.011481280626451165,0.8334435888463806,8916,COMPLETE
33,0.8102386666666667,2021-08-08 10:31:48.152305,2021-08-08 10:34:48.848563,0 days 00:03:00.696258,0.012518070145214942,0.2560753760932236,0.8813625576307719,0.0015425078589590047,5.712572602628567e-08,depthwise,0.25061916899798614,7,0.021804296613076,0.9343806638456809,10000,COMPLETE
34,0.7817983333333333,2021-08-08 10:34:48.849097,2021-08-08 10:34:51.371958,0 days 00:00:02.522861,0.010264901503319572,0.25338405352312743,0.8989631508704583,1.7414153833302396e-05,3.790309697361454e-08,depthwise,0.8995561277076118,7,0.019259723445142936,0.9214258460277339,37,COMPLETE
35,0.8077770000000001,2021-08-08 10:34:51.372382,2021-08-08 10:37:07.594655,0 days 00:02:16.222273,0.00039793589159015796,0.300679238300895,0.9537330001230159,0.0010547879201786199,3.683750082088907e-08,depthwise,4.964109502592489e-08,6,0.0302812035871473,0.9331337885581061,10000,COMPLETE
36,0.808456,2021-08-08 10:37:07.595093,2021-08-08 10:37:13.124081,0 days 00:00:05.528988,0.022518183266092902,0.3861159488795854,0.852389525077356,0.069903095322013,1.5914580263469874e-06,depthwise,0.05822750758339426,5,0.08835905407777774,0.8555967779257045,438,COMPLETE
37,0.8092303333333333,2021-08-08 10:37:13.124501,2021-08-08 10:37:29.663339,0 days 00:00:16.538838,0.05606627623692448,0.4307714021038919,0.9303422823127561,0.01870670826757735,3.686904940659478e-07,lossguide,0.24164812691698476,7,0.01713210007936108,0.9757182016603135,760,COMPLETE
38,0.8066043333333334,2021-08-08 10:37:29.663762,2021-08-08 10:37:32.565903,0 days 00:00:02.902141,9.86363776312309e-07,0.321026059340038,0.8194146540747773,0.18670070699065547,5.973514994797566e-08,depthwise,0.33702733026230774,6,0.065105980574483,0.9276288008290491,119,COMPLETE
39,0.7399999999999999,2021-08-08 10:37:32.566331,2021-08-08 10:37:33.859902,0 days 00:00:01.293571,0.0031182961746980017,0.260406451684851,0.8763256955369172,0.0001866136935143196,0.00028235202330664257,depthwise,0.009405671444720909,3,0.30854308022588656,0.8674999180380202,27,COMPLETE
40,0.8115263333333335,2021-08-08 10:37:33.860320,2021-08-08 10:37:50.999157,0 days 00:00:17.138837,0.01257816439985182,0.20281422965657087,0.729939443649797,0.021448335728402556,6.208920252902782e-06,depthwise,1.6756086130236344e-06,7,6.983841096342107,0.7092933065364142,1087,COMPLETE
41,0.81127,2021-08-08 10:37:50.999588,2021-08-08 10:38:06.044225,0 days 00:00:15.044637,0.010542991121723416,0.2042271497390579,0.7270162846847835,0.026378648467924277,5.870055507651251e-06,depthwise,1.274562206727267e-06,7,6.32348331187205,0.7109102882346278,932,COMPLETE
42,0.8114743333333333,2021-08-08 10:38:06.044666,2021-08-08 10:38:27.609816,0 days 00:00:21.565150,0.009202414990970208,0.22455177142765853,0.8121712276271422,0.016563923319450388,6.622689635028109e-06,depthwise,9.424785623171598e-07,7,6.590911118671348,0.7092196859160427,1368,COMPLETE
43,0.80831,2021-08-08 10:38:27.610250,2021-08-08 10:38:30.617664,0 days 00:00:03.007414,0.001521423014442863,0.20876893187376347,0.7303419471434724,0.16682300042727227,6.328214688920823e-06,depthwise,3.205014767071875e-07,6,6.500809819300265,0.7030904064991965,146,COMPLETE
44,0.8114859999999999,2021-08-08 10:38:30.618101,2021-08-08 10:38:46.239569,0 days 00:00:15.621468,0.0006962876914306948,0.2717404547746075,0.6562532242715579,0.02625557453777966,2.445791484957898e-05,depthwise,1.1134697321569848e-06,7,11.644742820383255,0.5999895141893591,1038,COMPLETE
45,0.810995,2021-08-08 10:38:46.240003,2021-08-08 10:38:59.798794,0 days 00:00:13.558791,0.0008715752260775093,0.28782608027974377,0.6520048521645099,0.032408428618723235,2.136556451454527e-05,depthwise,1.025619675660627e-06,6,11.451759443388267,0.549711417995651,1105,COMPLETE
46,0.8106386666666667,2021-08-08 10:38:59.799217,2021-08-08 10:39:11.404256,0 days 00:00:11.605039,0.000551202034871816,0.2875864790612195,0.6545958234110538,0.04032272939501129,0.00017197110491346175,depthwise,8.473446061801795e-07,5,10.967854327040996,0.5395360483702261,1122,COMPLETE
47,0.7973753333333334,2021-08-08 10:39:11.404705,2021-08-08 10:39:13.281153,0 days 00:00:01.876448,6.53206139842999e-05,0.3503491341568886,0.5780489496320609,0.402505412688467,2.5436657606439194e-05,depthwise,1.104139510540556e-06,7,2.637032150565527,0.4266255892297551,23,COMPLETE
48,0.8115563333333333,2021-08-08 10:39:13.281565,2021-08-08 10:39:38.672591,0 days 00:00:25.391026,0.002432446248392627,0.2015021380728057,0.5404879594558529,0.01944865704588056,0.0019876645682098764,lossguide,2.372696358097743e-06,6,18.01628187049188,0.6082542804699794,2253,COMPLETE
49,0.8100999999999999,2021-08-08 10:39:38.673026,2021-08-08 10:39:43.343104,0 days 00:00:04.670078,0.0031555530559413984,0.20426297216564954,0.5217885007976387,0.10579776779945634,0.0027233159181569338,lossguide,3.1073712162300807e-06,7,16.685537375670734,0.6260129358152904,253,COMPLETE
50,0.8108296666666667,2021-08-08 10:39:43.343532,2021-08-08 10:39:59.538150,0 days 00:00:16.194618,1.9581999159340217e-05,0.22791654645927123,0.5258063082901342,0.02467828358240032,0.0258077878064026,lossguide,1.6242900885050795e-05,6,5.108107348338976,0.6297785226023751,1280,COMPLETE
51,0.8109933333333333,2021-08-08 10:39:59.538669,2021-08-08 10:40:23.815153,0 days 00:00:24.276484,0.00047684405981836665,0.2767712142166662,0.7369717121215946,0.017564480474407475,5.344885509597242e-05,lossguide,1.0002655794927154e-07,5,9.365826471484764,0.5566721656932719,2482,COMPLETE
52,0.8109403333333334,2021-08-08 10:40:23.815577,2021-08-08 10:40:33.730605,0 days 00:00:09.915028,0.00015434204358921193,0.22830113616641867,0.6474058239745123,0.059894063143937325,0.0007985853631921489,lossguide,1.484700101489178e-06,6,19.78471705259185,0.48580066763345303,820,COMPLETE
53,0.8023419999999999,2021-08-08 10:40:33.731039,2021-08-08 10:40:35.834732,0 days 00:00:02.103693,0.001171761262827404,0.2328805014032091,0.5891495957574346,0.4147858994921777,8.013196599441936e-06,lossguide,5.181135708903605e-07,7,8.143059101594245,0.601528181798607,48,COMPLETE
54,0.8114496666666667,2021-08-08 10:40:35.835166,2021-08-08 10:40:50.267579,0 days 00:00:14.432413,0.0067425433796619305,0.30600484210587436,0.5477324929902482,0.031606291054587454,1.4954136514678994e-05,depthwise,9.665156685900885e-06,6,15.034384136940881,0.5167039039588533,1215,COMPLETE
55,0.8114453333333334,2021-08-08 10:40:50.268012,2021-08-08 10:41:19.629408,0 days 00:00:29.361396,0.008484791281597927,0.30618444935834876,0.5396942718696479,0.01212323385071228,2.6232227242911803e-06,depthwise,7.786759410220856e-06,7,5.3157348483628875,0.4252672233937548,1973,COMPLETE
56,0.8104136666666667,2021-08-08 10:41:19.629843,2021-08-08 10:41:53.626157,0 days 00:00:33.996314,0.004774433876174421,0.32037003081641213,0.47290752119298707,0.011447293806400216,2.4224320075837633e-06,lossguide,1.5145460742653141e-05,5,4.652226402908609,0.4038816168828222,3537,COMPLETE
57,0.8064096666666667,2021-08-08 10:41:53.626699,2021-08-08 10:41:57.503595,0 days 00:00:03.876896,0.041698900025457855,0.3666101764973186,0.5582756373404151,0.10760028046013302,0.00010566294841258988,depthwise,6.054854593845128e-06,6,3.0181294093339948,0.33044339191364586,221,COMPLETE
58,0.8027253333333334,2021-08-08 10:41:57.504054,2021-08-08 10:41:59.840899,0 days 00:00:02.336845,0.002609148759401928,0.3124457206021634,0.48776283106175283,0.31109561707623967,1.315477577641572e-05,depthwise,7.183952136140467e-05,8,14.695564612736785,0.4289959505816351,55,COMPLETE
59,0.7861716666666667,2021-08-08 10:41:59.841328,2021-08-08 10:42:57.488434,0 days 00:00:57.647106,0.007812505833844291,0.253156673096039,0.3681521267561506,0.006174693368785592,3.3479708794973823e-06,depthwise,8.875337754951395e-06,1,9.719472790017816,0.5221984047705143,10000,COMPLETE
