number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.753787,2021-08-08 05:00:23.652680,2021-08-08 05:00:26.674530,0 days 00:00:03.021850,0.031912928684665054,0.9961203158996834,0.6614692386016278,2.244133474968029e-08,0.9006756339606282,depthwise,0.9726886455052935,4,0.01356909593937718,0.923332232949752,171,COMPLETE
1,0.7449499999999999,2021-08-08 05:00:26.674992,2021-08-08 05:00:28.664957,0 days 00:00:01.989965,6.642795763673094e-08,0.4848054329462406,0.21783055913345387,9.323443735390097e-05,4.6073146617793795e-08,depthwise,0.0017132877163832905,3,0.7155908716711241,0.9770216382059045,107,COMPLETE
2,0.759754,2021-08-08 05:00:28.665391,2021-08-08 05:00:31.412886,0 days 00:00:02.747495,0.01343055548861433,0.3234614039626217,0.23817426745233564,0.0001880188098459345,1.1128817684232692e-05,lossguide,0.005488930572572557,6,1.1774149605672923,0.8661016072321521,87,COMPLETE
3,0.7754883333333332,2021-08-08 05:00:31.413322,2021-08-08 05:00:36.793136,0 days 00:00:05.379814,0.47013678861446245,0.49279067944233407,0.3448211878912203,4.426155798256119e-08,0.00047624814266945066,lossguide,0.0011968558212159001,7,0.7927937986839108,0.3027819358279147,186,COMPLETE
4,0.7536293333333334,2021-08-08 05:00:36.793560,2021-08-08 05:00:38.883060,0 days 00:00:02.089500,1.0310121822514692e-07,0.9423876929902597,0.4837083009642091,5.36667620226969e-08,3.472266946950235e-07,lossguide,0.0003363567431640129,4,0.7299196798280327,0.3568723827793407,101,COMPLETE
5,0.7612030000000001,2021-08-08 05:00:38.883486,2021-08-08 05:00:41.244114,0 days 00:00:02.360628,1.008600525330879e-06,0.5121154483351882,0.40768289350952935,3.0394018405588483e-05,8.452312296973822e-06,lossguide,1.7311200812171035e-07,5,0.02187683271906544,0.868662389369872,98,COMPLETE
6,0.7661143333333333,2021-08-08 05:00:41.244537,2021-08-08 05:00:44.633257,0 days 00:00:03.388720,0.0013723282475485027,0.826045416229529,0.2278321454297931,0.0016165673180424504,1.730286965965554e-05,depthwise,0.0005369859178805471,6,6.814062869987308,0.4999642319725881,142,COMPLETE
7,0.8084243333333334,2021-08-08 05:00:44.633677,2021-08-08 05:02:57.134120,0 days 00:02:12.500443,6.133275931758579e-05,0.41231602851268545,0.7056805175100644,0.002260835183897184,3.208663266072451e-06,lossguide,1.299434241219935e-05,8,0.07913435018856911,0.4614513052993653,4402,COMPLETE
8,0.7955903333333333,2021-08-08 05:02:57.134615,2021-08-08 05:02:59.883206,0 days 00:00:02.748591,7.446672232758249e-08,0.33933886134089597,0.6545310836229516,0.8375035051686719,4.237672908019301e-08,depthwise,0.01409569709016442,2,0.10106002462349672,0.6998296852463955,242,COMPLETE
9,0.7937426666666667,2021-08-08 05:02:59.883621,2021-08-08 05:03:24.422424,0 days 00:00:24.538803,2.0845970392527741e-07,0.7657355630525189,0.577243875486525,0.00029488391917231933,3.1022262830500327e-05,lossguide,0.0027022021413145806,9,2.322226249145065,0.3998135116103161,393,COMPLETE
10,0.7965406666666667,2021-08-08 05:03:24.422839,2021-08-08 05:03:28.977721,0 days 00:00:04.554882,2.6214920065431713e-05,0.2076347571397058,0.925093839955934,0.18389360013683223,0.01888243343424002,lossguide,2.059455343274553e-06,9,0.1293724903919239,0.6512312653552458,41,COMPLETE
11,0.8003516666666667,2021-08-08 05:03:28.978152,2021-08-08 05:03:34.077076,0 days 00:00:05.098924,1.789406352274782e-05,0.22950980224402862,0.9217488966173599,0.12622690542101905,0.017088950830244875,lossguide,7.590177210612372e-07,9,0.11723108184857227,0.6365638179559991,51,COMPLETE
12,0.8074966666666666,2021-08-08 05:03:34.077504,2021-08-08 05:03:49.161130,0 days 00:00:15.083626,1.8560571098626403e-05,0.2253955003410644,0.8883810042914722,0.020337611414529236,0.0021233781259224543,lossguide,3.2151205289962355e-06,8,0.11373541070523387,0.5337151863158204,445,COMPLETE
13,0.8082539999999999,2021-08-08 05:03:49.161558,2021-08-08 05:04:19.027887,0 days 00:00:29.866329,0.0003134753548868174,0.36501723718681156,0.7977917034695425,0.008288012373800084,0.0013529186986834735,lossguide,1.752587241466678e-05,7,0.046559595917852616,0.5276382516852571,1449,COMPLETE
14,0.8066186666666666,2021-08-08 05:04:19.028324,2021-08-08 05:05:02.090961,0 days 00:00:43.062637,0.0004599278808574757,0.6171753748288872,0.7867720863951251,0.00519230070538883,9.488312624751804e-07,lossguide,2.3541506865286126e-05,7,0.03715155622814169,0.21769594128102102,1943,COMPLETE
15,0.781809,2021-08-08 05:05:02.091408,2021-08-08 05:05:05.098935,0 days 00:00:03.007527,0.0002526591204779242,0.39085984610092106,0.7754870989801299,2.683555997917118e-06,0.00028030230407089066,lossguide,3.4795303805627583e-08,7,0.04930955879834218,0.45354706873388967,57,COMPLETE
16,0.607419,2021-08-08 05:05:05.099370,2021-08-08 05:05:06.274755,0 days 00:00:01.175385,1.4807186095642185e-06,0.6257725818891986,0.7779211564567319,7.453028700682803e-06,0.0050789474783096015,lossguide,2.764167479077727e-05,1,0.26562724806424176,0.7334417115099796,9,COMPLETE
17,0.8117483333333334,2021-08-08 05:05:06.275196,2021-08-08 05:06:05.842395,0 days 00:00:59.567199,0.01226467853672258,0.4331388660072678,0.9873108443239735,0.005205483456802453,0.3757669298797897,lossguide,7.824451026412737e-06,8,19.546100035673227,0.5661140610320318,3315,COMPLETE
18,0.8102693333333333,2021-08-08 05:06:05.842904,2021-08-08 05:10:01.354194,0 days 00:03:55.511290,0.0030769680509024197,0.6785743896481574,0.9940217300466826,0.0009236207098642748,0.28494959432747907,depthwise,1.9920865307313265e-08,8,14.621010960259785,0.7489795535469524,10000,COMPLETE
19,0.7814206666666667,2021-08-08 05:10:01.354685,2021-08-08 05:10:05.493593,0 days 00:00:04.138908,0.011646402936451012,0.7085229767498009,0.9931512958999889,7.570289909951977e-07,0.9612166821909572,depthwise,1.146418276780558e-08,8,17.66100326686489,0.7959600309683909,52,COMPLETE
20,0.8062123333333333,2021-08-08 05:10:05.494004,2021-08-08 05:12:28.098374,0 days 00:02:22.604370,0.4350490592451085,0.6961871907246897,0.9730407477028854,0.0007616683903334622,0.11897290872596963,depthwise,1.5986412807630377e-07,6,15.700933974145197,0.7851532900879912,10000,COMPLETE
21,0.8107166666666666,2021-08-08 05:12:28.098809,2021-08-08 05:14:54.809526,0 days 00:02:26.710717,0.002919816566577623,0.5387462888315052,0.8491601709915402,0.002003018044109539,0.16580013424142961,depthwise,4.588971578074743e-06,8,4.979238558111286,0.5719565884562999,5974,COMPLETE
22,0.809446,2021-08-08 05:14:54.809966,2021-08-08 05:15:02.000250,0 days 00:00:07.190284,0.0030591758401384223,0.5554998769471459,0.8613930602819537,0.05550171307714765,0.11664305032738972,depthwise,2.022628709866537e-07,8,5.563533679275896,0.581072575299699,224,COMPLETE
23,0.7905753333333334,2021-08-08 05:15:02.000711,2021-08-08 05:15:08.466408,0 days 00:00:06.465697,0.09085887481692176,0.5677937949378807,0.8566608409177363,3.463595843295198e-05,0.13333083674111978,depthwise,0.00015444879076304788,9,7.012719177569928,0.5898378236939555,63,COMPLETE
24,0.8090476666666667,2021-08-08 05:15:08.466825,2021-08-08 05:15:22.795108,0 days 00:00:14.328283,0.0048446024134604256,0.4379779618252023,0.9923184535953341,0.025015292186788517,0.034419129365331126,depthwise,1.2786901734320192e-06,5,2.8069036220583756,0.6980464647259935,1280,COMPLETE
25,0.8095896666666667,2021-08-08 05:15:22.795533,2021-08-08 05:19:34.818110,0 days 00:04:12.022577,0.05209648264240118,0.6316244782951055,0.9380740305595905,0.0007158828073256606,0.2333916822675253,depthwise,0.04107513909342611,8,10.364322276054091,0.6317773131623465,10000,COMPLETE
26,0.8096743333333333,2021-08-08 05:19:34.818554,2021-08-08 05:20:33.442682,0 days 00:00:58.624128,0.001173903714572793,0.8405108628813498,0.8478090201582714,0.005095599818285377,0.007823039608907052,depthwise,1.0005621975953887e-08,7,3.3254667393498236,0.7776431571698692,2956,COMPLETE
27,0.7912196666666667,2021-08-08 05:20:33.443121,2021-08-08 05:20:34.852425,0 days 00:00:01.409304,0.15866019418936653,0.6967116936474969,0.5663948680307319,0.9380005502528738,0.40000426474276424,depthwise,4.87633823582535e-06,6,19.9942630900395,0.5699439072795024,12,COMPLETE
28,0.8108086666666666,2021-08-08 05:20:34.852851,2021-08-08 05:25:44.602309,0 days 00:05:09.749458,0.009453683795509354,0.4606361968632444,0.9502433339182482,0.0008251852640197559,0.04328465510642791,depthwise,9.837080697199936e-08,9,10.779266970472682,0.6829020973654112,10000,COMPLETE
29,0.7910296666666667,2021-08-08 05:25:44.602760,2021-08-08 05:25:51.290393,0 days 00:00:06.687633,0.01964879105165214,0.2960778121600306,0.7130765492145298,8.66572393117108e-05,0.052421732022955546,depthwise,3.6574863557002313e-07,9,1.81216061101374,0.6799773209190232,74,COMPLETE
30,0.8093596666666666,2021-08-08 05:25:51.290814,2021-08-08 05:26:06.862103,0 days 00:00:15.571289,0.18213953652605333,0.43364391407508207,0.9025264570869276,0.023410571985353422,0.00013290992841951508,depthwise,6.445485810198223e-05,5,4.505994896231082,0.4454238571398815,1487,COMPLETE
31,0.808579,2021-08-08 05:26:06.862547,2021-08-08 05:30:30.926102,0 days 00:04:24.063555,0.0031174540911791887,0.561242642277137,0.9528975409964143,0.0006360545033021499,0.8914808033056287,depthwise,5.4847173446145614e-08,8,10.896815684630363,0.8450178125180436,10000,COMPLETE
32,0.8103956666666666,2021-08-08 05:30:30.926563,2021-08-08 05:33:22.891660,0 days 00:02:51.965097,0.028672335915070832,0.46501421743292964,0.8370449270199681,0.001931561986148705,0.3439679106151445,depthwise,3.317555776424385e-08,9,8.525427769560817,0.9750922381004752,5888,COMPLETE
33,0.8105063333333334,2021-08-08 05:33:22.892110,2021-08-08 05:35:06.989576,0 days 00:01:44.097466,0.026140454212130623,0.4820036040904296,0.8193284765518606,0.003361213372593613,0.052715385806302244,depthwise,5.466041478466955e-08,9,9.90302501838635,0.9744520738852755,3597,COMPLETE
34,0.801263,2021-08-08 05:35:06.990025,2021-08-08 05:43:11.202862,0 days 00:08:04.212837,0.011868554187967645,0.5012831419872819,0.7205545453813129,0.0001821321896229382,0.04972842739709176,depthwise,0.27685803031922435,9,4.202128768027297,0.9982956564840856,10000,COMPLETE
35,0.809014,2021-08-08 05:43:11.203307,2021-08-08 05:43:48.917208,0 days 00:00:37.713901,0.8006240792822292,0.5059794134079096,0.9032772034594428,0.00821024273119439,0.00466884039115238,depthwise,6.121697594382696e-06,7,0.3555377688179437,0.9205792054719035,1710,COMPLETE
36,0.7579453333333334,2021-08-08 05:43:48.917646,2021-08-08 05:43:50.779980,0 days 00:00:01.862334,0.0010023221281235484,0.5412204923608409,0.6200922196987229,3.7730126503616555e-05,0.0006960354692890076,depthwise,5.56328549651796e-07,4,1.3335910131544986,0.27722880110359227,91,COMPLETE
37,0.811735,2021-08-08 05:43:50.780407,2021-08-08 05:45:03.502835,0 days 00:01:12.722428,1.0339390416649334e-08,0.4701293742035134,0.8277282559389082,0.0038969716797434637,0.016616862715238292,depthwise,1.0011149077428516e-07,9,9.526233886716051,0.35723162224890015,3079,COMPLETE
38,0.784304,2021-08-08 05:45:03.503267,2021-08-08 05:45:07.522944,0 days 00:00:04.019677,5.666304075475315e-06,0.2768033176511736,0.7538828792741732,0.00027809435590500257,0.01660296599913938,depthwise,1.215367626178665e-07,8,12.383856888010545,0.35254706126323027,85,COMPLETE
39,0.803227,2021-08-08 05:45:07.523376,2021-08-08 05:45:09.807162,0 days 00:00:02.283786,7.510920948188395e-05,0.36422087621664156,0.38856243697660386,0.2937682307905757,0.002258756948024886,depthwise,7.899600272789208e-05,7,6.181568370772661,0.5039366849727962,60,COMPLETE
40,0.805856,2021-08-08 05:45:09.807603,2021-08-08 05:45:16.958171,0 days 00:00:07.150568,1.4340925605592431e-08,0.46167061016558886,0.8774087578959878,0.0660716946344829,0.007019831407259826,lossguide,1.0025933279900906e-06,3,0.6114310208902239,0.3942652086873591,887,COMPLETE
41,0.8109226666666668,2021-08-08 05:45:16.958593,2021-08-08 05:47:04.063522,0 days 00:01:47.104929,0.006993672246714742,0.400259914132583,0.8339824110875667,0.003132126374192955,0.0665197882274428,depthwise,8.503766123380904e-08,9,9.843442678904461,0.9122510498663543,3859,COMPLETE
42,0.8069113333333333,2021-08-08 05:47:04.063968,2021-08-08 05:47:35.042644,0 days 00:00:30.978676,0.007249854877302416,0.40627352322639143,0.9348846111775161,0.012582294232926332,0.10804301400563784,depthwise,3.569689525497311e-07,9,0.010018008073174916,0.8386409488024316,646,COMPLETE
43,0.7846433333333334,2021-08-08 05:47:35.043087,2021-08-08 05:47:47.878087,0 days 00:00:12.835000,0.0006008938173177174,0.5291409617093573,0.49832224355810006,1.112647603352466e-08,0.4695280986411325,depthwise,8.473570120500576e-08,8,4.241001647968214,0.9100999987384469,343,COMPLETE
44,0.8114253333333333,2021-08-08 05:47:47.878518,2021-08-08 05:50:04.334782,0 days 00:02:16.456264,0.06018967274720638,0.3319175253244438,0.8152515660632519,0.002145139350685073,0.02573147614882491,depthwise,6.447664686202434e-06,9,7.860848433821622,0.553509117892468,5349,COMPLETE
45,0.7908286666666666,2021-08-08 05:50:04.335234,2021-08-08 05:50:26.869225,0 days 00:00:22.533991,0.05763258091902544,0.31356125119992667,0.7417603840535676,9.538566901229846e-05,0.024775727154269647,lossguide,0.0005461953453091274,9,8.119247130122417,0.42335713613965087,528,COMPLETE
46,0.8073026666666667,2021-08-08 05:50:26.869656,2021-08-08 05:50:33.566860,0 days 00:00:06.697204,0.19732884559047334,0.266084291191072,0.6920679909223632,0.05785884833685379,0.010161998508278302,depthwise,1.8098922125489038e-06,9,1.9253185668987591,0.3466070132374659,167,COMPLETE
