number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.770101,2021-08-08 17:13:31.255121,2021-08-08 17:13:35.608079,0 days 00:00:04.352958,1.067568710823002e-07,0.5405981140392802,0.8988938371130528,1.205337935666575e-06,7.544889995715924e-08,depthwise,0.0014570404609252194,5,0.37066995922486773,0.36449081972067704,248,COMPLETE
1,0.772592,2021-08-08 17:13:35.608556,2021-08-08 17:13:38.868924,0 days 00:00:03.260368,2.536330750583311e-05,0.9069702113538145,0.3000465117629558,4.5179231426756545e-05,0.00016835465214613775,lossguide,0.05038143424398539,7,0.022688129512343308,0.3635645120650331,73,COMPLETE
2,0.7984289999999999,2021-08-08 17:13:38.869363,2021-08-08 17:14:42.120499,0 days 00:01:03.251136,3.398794428131958e-05,0.9237599405551784,0.4810828126317673,0.0031685582188972824,1.7367263099074767e-08,lossguide,6.140782163337699e-08,2,4.611809288485918,0.3723594604877254,10000,COMPLETE
3,0.8046139999999999,2021-08-08 17:14:42.121022,2021-08-08 17:14:44.569167,0 days 00:00:02.448145,3.6869357521791105e-05,0.5359172168751143,0.24892155650523773,0.4502114157747346,1.2503213441394783e-05,lossguide,0.03919169551323191,6,13.467851564989067,0.8454154763543444,96,COMPLETE
4,0.8045526666666666,2021-08-08 17:14:44.569608,2021-08-08 17:17:20.649977,0 days 00:02:36.080369,0.006415552509210311,0.794014359950697,0.9942903217127719,0.0005999970072879517,2.603384712936262e-06,lossguide,2.84168393236332e-07,6,0.0215763790538673,0.6665369399222124,10000,COMPLETE
5,0.8063133333333333,2021-08-08 17:17:20.650433,2021-08-08 17:17:35.148248,0 days 00:00:14.497815,0.0003932738667427738,0.6150225484618241,0.9988159766536231,0.02833765991435467,0.03128708469628552,depthwise,0.061405929754013926,9,0.010738340680553043,0.4656879457104425,263,COMPLETE
6,0.8070476666666666,2021-08-08 17:17:35.148691,2021-08-08 17:17:41.862012,0 days 00:00:06.713321,9.89620109882885e-05,0.5984002933991235,0.4464215174598957,0.0501509492394325,1.3057962514840936e-06,lossguide,8.408921722117134e-05,7,0.22571067802801928,0.5157335435405452,268,COMPLETE
7,0.7924393333333333,2021-08-08 17:17:41.862468,2021-08-08 17:17:49.532897,0 days 00:00:07.670429,0.00013454044114964852,0.5185633814620695,0.796998487141636,1.305053307877682e-07,0.023905070534760806,depthwise,0.003431844266754391,9,4.2794166369894615,0.4048487116825527,107,COMPLETE
8,0.7798956666666667,2021-08-08 17:17:49.533325,2021-08-08 17:18:47.198238,0 days 00:00:57.664913,0.01225153946300185,0.49150037276795644,0.6234490578166574,0.002381750420022751,7.461732888907642e-05,lossguide,2.171893713355671e-07,1,0.07454778697149897,0.5498569314032673,10000,COMPLETE
9,0.6937966666666666,2021-08-08 17:18:47.198693,2021-08-08 17:18:48.483905,0 days 00:00:01.285212,1.946097687004508e-07,0.9449079138203882,0.8954412955710243,8.599373362554857e-08,4.996363513605898e-05,lossguide,1.0086502990281292e-05,2,0.33236489567667976,0.458652075027819,21,COMPLETE
10,0.7963883333333333,2021-08-08 17:18:48.484339,2021-08-08 17:18:50.172538,0 days 00:00:01.688199,0.3460037496690004,0.21197362823324284,0.43156054646959524,0.7758518198256502,4.3805347764447094e-07,depthwise,3.0165915706909072e-05,4,0.12314843228097266,0.9963845057857643,59,COMPLETE
11,0.8065613333333334,2021-08-08 17:18:50.173053,2021-08-08 17:18:58.387743,0 days 00:00:08.214690,0.0013674081644805822,0.7090718431579467,0.6748362739670833,0.044741176607546715,0.28307137086207396,depthwise,0.5049721335429909,9,1.3731516767704774,0.22273351031671723,176,COMPLETE
12,0.8073213333333333,2021-08-08 17:18:58.388274,2021-08-08 17:19:05.689945,0 days 00:00:07.301671,0.004106766569689247,0.7109227222317175,0.6692218803700798,0.052499918968340026,0.2280274844136613,depthwise,0.6798546507190085,8,1.647305049336103,0.23428902395172085,227,COMPLETE
13,0.7797533333333333,2021-08-08 17:19:05.690377,2021-08-08 17:19:08.912481,0 days 00:00:03.222104,2.3138355568001404e-06,0.39058719910951756,0.48699972059303864,2.8180630268409543e-05,0.0016238125490787285,depthwise,0.00042727470103935683,7,1.4411167728553098,0.7208260404578829,71,COMPLETE
14,0.8059983333333333,2021-08-08 17:19:08.912942,2021-08-08 17:19:16.969374,0 days 00:00:08.056432,0.4496992501061083,0.7163990690555021,0.7268923547561357,0.04001943254709599,0.0010279302956307682,depthwise,2.9533690248391147e-06,8,1.0560639305877006,0.21968413017784577,238,COMPLETE
15,0.7776183333333333,2021-08-08 17:19:16.969812,2021-08-08 17:19:19.300608,0 days 00:00:02.330796,0.03109681308262247,0.369632088987102,0.5422140030490094,0.00030115207553706516,0.5958140493189944,lossguide,0.00018887529115494813,7,0.10661064728049892,0.5599636308370579,24,COMPLETE
16,0.7526790000000001,2021-08-08 17:19:19.301059,2021-08-08 17:19:20.823867,0 days 00:00:01.522808,2.557607883205492e-06,0.6796353508040287,0.3535338356475245,5.567691593676151e-06,9.66676406530614e-07,lossguide,0.7576608861334586,4,0.6801737845735911,0.26870703153461517,36,COMPLETE
17,0.8061473333333332,2021-08-08 17:19:20.824317,2021-08-08 17:19:24.289819,0 days 00:00:03.465502,0.0013715417434631365,0.7992794904789295,0.5714655669863697,0.1638179873384896,0.004905968541236342,depthwise,1.422769103938757e-06,8,3.2799915333667964,0.7471142484933041,56,COMPLETE
18,0.8111753333333332,2021-08-08 17:19:24.290263,2021-08-08 17:20:18.779878,0 days 00:00:54.489615,4.7375220753405035e-06,0.8186885981354937,0.3795442430009599,0.006725467059690935,7.2540257716611515e-06,depthwise,1.0730672725736631e-08,6,17.757779269163837,0.8593842247198338,4624,COMPLETE
19,0.8099593333333334,2021-08-08 17:20:18.780327,2021-08-08 17:22:01.067739,0 days 00:01:42.287412,2.6845652493608883e-06,0.8286105926470451,0.7575621812794758,0.0030400101305897514,8.282413941431689e-06,depthwise,1.0442329314413607e-08,5,19.495771563443352,0.9354066514124979,10000,COMPLETE
20,0.8089910000000001,2021-08-08 17:22:01.068191,2021-08-08 17:23:02.329937,0 days 00:01:01.261746,1.1893013233795002e-08,0.9992956010622119,0.7578296333654203,0.007360942197150325,1.1145675254696794e-05,depthwise,1.2220074028031169e-08,4,17.79088471621957,0.9787611588671937,7152,COMPLETE
21,0.8063303333333334,2021-08-08 17:23:02.330383,2021-08-08 17:24:28.775754,0 days 00:01:26.445371,3.110855162967728e-08,0.9968406379691402,0.7841098695807025,0.002222899886318237,9.201099377769798e-06,depthwise,1.5450122550259144e-08,4,19.46082180906141,0.994065498630079,10000,COMPLETE
22,0.8096783333333333,2021-08-08 17:24:28.776210,2021-08-08 17:25:23.434548,0 days 00:00:54.658338,1.1434658479637806e-06,0.8184492956542568,0.8253381192087029,0.006405341178798868,1.6580616095683358e-07,depthwise,1.0995523520623907e-08,5,8.729977218577764,0.8807617899657597,5214,COMPLETE
23,0.7664993333333333,2021-08-08 17:25:23.435004,2021-08-08 17:25:25.381285,0 days 00:00:01.946281,9.867851382585393e-07,0.8290128238045973,0.8843665309753237,0.0003911369639675204,1.124558253859771e-07,depthwise,8.806490334378445e-08,5,7.258543134395191,0.8812646068083829,49,COMPLETE
24,0.8107436666666666,2021-08-08 17:25:25.381788,2021-08-08 17:26:20.230424,0 days 00:00:54.848636,8.793750882867632e-06,0.8453853257102083,0.20041555607300446,0.00809885442287941,1.3417261690771934e-07,depthwise,1.0833982273579089e-08,6,8.340226169686124,0.8714063116888097,4607,COMPLETE
25,0.7647633333333334,2021-08-08 17:26:20.230873,2021-08-08 17:26:21.958767,0 days 00:00:01.727894,9.28455836944687e-06,0.8696646487193439,0.20229547787412783,0.0001341266437298835,1.052799055271163e-08,depthwise,4.284467536029307e-07,6,8.881934880360712,0.8144429563167639,16,COMPLETE
26,0.7415303333333334,2021-08-08 17:26:21.959251,2021-08-08 17:26:23.253388,0 days 00:00:01.294137,6.3825961028626575e-06,0.7550686253053556,0.36526799634233004,0.0011448524364313306,3.650354166207938e-06,depthwise,5.327727963858463e-08,3,2.8421025913800966,0.9167541213739495,11,COMPLETE
27,0.8104796666666667,2021-08-08 17:26:23.253836,2021-08-08 17:27:02.811057,0 days 00:00:39.557221,3.74620365697016e-07,0.8734209556049093,0.20199964355723435,0.01041280598791369,0.0002520910678105133,depthwise,3.027935312287766e-06,6,10.11856147965684,0.7743655714464954,3313,COMPLETE
28,0.8103856666666666,2021-08-08 17:27:02.811511,2021-08-08 17:27:34.998630,0 days 00:00:32.187119,1.708776880542698e-07,0.8624557116307526,0.21355407902899315,0.013146863806621344,0.00027364893063570525,depthwise,2.4051008892158873e-06,6,6.604891877397351,0.7721048961839873,2640,COMPLETE
29,0.7568153333333334,2021-08-08 17:27:34.999087,2021-08-08 17:27:37.087138,0 days 00:00:02.088051,3.820036187046876e-07,0.943870383936624,0.290339992013637,1.0374237107422308e-08,4.016071906383141e-08,depthwise,8.504701708059007e-07,6,10.952022417756774,0.6498708237036528,42,COMPLETE
30,0.8052073333333333,2021-08-08 17:27:37.087603,2021-08-08 17:27:40.348579,0 days 00:00:03.260976,5.829287657566689e-08,0.6354953730840707,0.35229877922829056,0.19040553856437548,4.256244634938943e-07,depthwise,1.2830237299608614e-05,7,2.465350335833564,0.7918478299855551,103,COMPLETE
31,0.810279,2021-08-08 17:27:40.349048,2021-08-08 17:28:05.118045,0 days 00:00:24.768997,1.5327753001084305e-07,0.8833651554283961,0.2182191868038585,0.01705240282406008,0.0002377765778506075,depthwise,3.8002477825620105e-06,6,5.625655635074682,0.7654312519567761,1983,COMPLETE
32,0.8103073333333333,2021-08-08 17:28:05.118503,2021-08-08 17:28:31.855015,0 days 00:00:26.736512,4.1713108541544647e-07,0.8774810154941531,0.2795692500950466,0.011928801373723317,0.00044293002353955276,depthwise,1.382752477441284e-07,6,6.3296829176518425,0.6982153164564836,2134,COMPLETE
33,0.8078973333333334,2021-08-08 17:28:31.855465,2021-08-08 17:28:35.346412,0 days 00:00:03.490947,1.0306575664126232e-05,0.7537114516264676,0.31823692166773226,0.1936453133988135,6.698684573527448e-05,depthwise,4.758199905492988e-08,5,11.25323148025286,0.8251421266693835,232,COMPLETE
34,0.7708029999999999,2021-08-08 17:28:35.347009,2021-08-08 17:28:38.930904,0 days 00:00:03.583895,4.27360158674201e-08,0.9266424323894435,0.2511628947744645,0.00016963404817047403,2.779198188444909e-05,depthwise,1.1243322282067804e-06,7,4.067582565705232,0.8608084832459638,89,COMPLETE
35,0.7724203333333333,2021-08-08 17:28:38.931354,2021-08-08 17:28:40.754253,0 days 00:00:01.822899,1.970117098387973e-05,0.8549606150611591,0.3906721540160079,2.0607637733498217e-05,0.005373094146085032,depthwise,0.0012689787860273084,6,12.441370703159288,0.6569763114936937,19,COMPLETE
36,0.757837,2021-08-08 17:28:40.754719,2021-08-08 17:28:42.198277,0 days 00:00:01.443558,5.764363063085279e-07,0.7644933095141115,0.2405346968637908,0.0009061536540243051,0.0002530941073799935,depthwise,4.125669129895427e-05,5,2.2565646639260546,0.93197999658664,7,COMPLETE
37,0.810791,2021-08-08 17:28:42.198724,2021-08-08 17:29:41.028464,0 days 00:00:58.829740,6.072864802175763e-05,0.959994831655476,0.2929152661425152,0.006022202318121486,3.742331411848272e-08,depthwise,2.928496638593921e-08,6,7.573631713728335,0.7596629530876021,4853,COMPLETE
38,0.811376,2021-08-08 17:29:41.029034,2021-08-08 17:30:55.444617,0 days 00:01:14.415583,9.196489187827058e-05,0.9157958214992873,0.3161058994532131,0.005051850259619563,2.7747069485572482e-08,depthwise,2.8924786129920664e-08,7,13.63864089457945,0.6069363805679333,5179,COMPLETE
39,0.8073966666666667,2021-08-08 17:30:55.445093,2021-08-08 17:31:00.024501,0 days 00:00:04.579408,0.00010731032330274871,0.9483950276998447,0.4107786573001833,0.11991486252661591,2.2913812947195624e-08,depthwise,3.662911744592604e-08,8,4.4079644424718625,0.6079294394892554,110,COMPLETE
40,0.8110746666666667,2021-08-08 17:31:00.024986,2021-08-08 17:34:42.113933,0 days 00:03:42.088947,0.0003558560680472753,0.9751331943114435,0.4878408112088589,0.0011487788955822956,4.83046755953953e-08,lossguide,3.092177062814935e-08,8,14.6136279759,0.6039058588035415,10000,COMPLETE
