,investor_uuid,closeness_centrality
0,f908683c-5630-9ceb-e947-de13d2a04d3f,0.21759884998654275
1,5a80638f-1e6e-bf9b-4605-a7f81e092a4e,0.1898177106375833
2,ae4ad479-553b-666f-52bc-74d09e4686c2,0.24284783041939356
3,043d9e52-dcc0-0dd8-6074-206e42e20e13,0.3163584177267214
4,6421a781-2cfa-9793-a6cb-f2e44a1cf2d7,0.24985846201243844
5,8866fad8-f339-97ff-f34b-eed98d43a2f0,0.31188224895838884
6,1d6b08a6-ec6e-83e1-c0c3-2806233ab926,0.26595201377132405
7,eb9ce478-e454-486d-9d1e-a4c53e655bdb,0.31250826567737505
8,30a0639d-7803-9929-b932-5ba14ce16bc2,0.2782555519502723
9,dbdafc98-7c6b-9cf1-b1bf-d3f590197dd1,0.2867194871806296
10,4ede174d-3254-8602-e977-d9c0bfe34433,0.27900638570872754
11,a578dcf9-859e-c8b5-2182-e3aa3c383b13,0.25010528478502353
12,87e297f8-53fd-a340-cbfc-6f34d3c62a86,0.30943487031999145
13,95489f22-86a1-65b2-e005-e6abeeaaf204,0.2781841186528923
14,37b009c8-09a8-e468-aa22-5e9d29fa8bc7,0.20938471666453817
15,0ed5402c-cad7-95b8-06be-e7cd30bda343,0.26330505634172396
16,ef2caa7a-3662-ea80-7104-7afdd831ef0d,0.27056042852352125
17,b6f269af-56f7-ef3e-6d91-15b749ffb8da,0.21965964231263213
18,1eb5764e-21ca-9b3a-7e62-ffa6bd38b35d,0.26536065616055216
19,c400b921-7dbd-b2ef-471d-fcd5b2ec7737,0.2616393894860452
20,01b78c00-b6e2-7cbc-8286-8d14d09d441e,0.2830999877395666
21,016ca6fe-6b46-4439-5faa-9a861fc230ad,0.2629804396219371
22,4b9e6406-1f02-02b0-e18d-1b80a05915c6,0.21965964231263213
23,ff52140c-8e45-09d2-ffe6-5d88ada416b7,0.23692020592925392
24,edc34868-81d7-85a4-4403-4a393a6b12ff,0.21040436822758604
25,b482d581-6b55-14fb-ba9e-d70bcaa052a3,0.22407652754201568
26,649bec8f-2732-b53a-526b-1bd65b3fc577,0.27970928867524275
27,d51c85c1-124a-e1ce-71f6-9b9ee60b8ab6,5.291425245389846e-05
28,8cfbac93-4c8e-c63c-31a4-f035b99dc927,5.291425245389846e-05
29,f87d7316-4a5f-d451-63a2-16f78670c6a4,5.291425245389846e-05
