uuid,closeness_centrality,name,investor_types,most_common_invest_type
a2281da9-8a3e-da3d-56b2-b8e0725b1b51,0.2614545029432572,IVP,venture_capital,series_b
fba675ec-0454-3b1b-c813-aa74fc90c910,0.0,Odyssey Ventures L.P.,venture_capital,series_a
c7317198-1625-e505-9d92-a53acfab432f,0.2055836735631847,K1 Investment Management,"private_equity_firm,venture_capital",series_a
93c94229-131d-e2e5-da80-3fd94b09e656,0.20644112478236853,Triangle Capital Corporation,venture_capital,series_unknown
b140b494-efd0-e89a-fb3e-bf277f599b3a,0.23290652042794396,Elliott Management Corp.,hedge_fund,post_ipo_equity
b0da80a8-e830-2dfb-e87d-9ccb1c09e729,0.23845950354665463,Qiming Venture Partners,venture_capital,series_a
74a20af3-f4dd-6188-de60-c4ee6cd0ca4a,0.24760260874758797,Ant Group,,series_a
5119b35f-5573-f507-8e16-a2c208b42d0f,0.0,Fenbushi Capital,"micro_vc,venture_capital",seed
3e7792d5-1cd0-600b-ff80-a9133f6efd40,0.16189790706895604,Mundipharma,,post_ipo_debt
f36ab9df-ae5f-d86d-2a7d-15f5ed1ab90a,0.16189790706895604,Purdue Pharma,,series_unknown
16455c65-7da9-85b1-7c2b-92c4ed4e2a0c,0.20558852532429583,Amgen Ventures,venture_capital,series_unknown
3e9e8981-e62d-b0b6-1779-d81dff215007,0.16189790706895604,Advent Life Sciences,venture_capital,series_unknown
2613693e-8757-5d7d-a565-0a5052ecde76,0.24017541792524022,Generation Investment Management,private_equity_firm,series_d
7c6446b8-e40e-33a7-7773-50c7a3fa8e79,0.24291457764671204,Focus Ventures,venture_capital,series_c
0c867fde-2b9a-df10-fdb9-66b74f355f91,0.29098144777762,Sequoia Capital,venture_capital,series_a
1e26a004-016c-282a-0b8a-84a83082bf2d,0.18571251350657428,Boehringer Ingelheim Venture Fund,corporate_venture_capital,series_a
ba2f2307-fbb3-d9f6-12d0-28396f9d03ae,0.17024433424988056,EMBL Ventures,micro_vc,series_a
63e52b66-b298-edd1-6055-c7e712933c6e,0.24140002171325925,Globespan Capital Partners,venture_capital,series_c
e2006571-6b7a-e477-002a-f7014f48a7e3,0.2635506318014881,Greylock,venture_capital,series_a
8ca0a6a5-15ba-2e62-3d45-eac4cb4d41de,0.2521098160434794,Sigma Partners,venture_capital,series_b
7210e18b-3fde-bb03-c4b0-db3bb5ce0d96,0.0,Van Leer Ventures Jerusalem,venture_capital,series_unknown
e4a555d9-eed3-44bd-efae-e78d5c3254ba,0.0,Everbright,venture_capital,series_unknown
fc8de560-b90c-4741-bd5a-4c8efefde010,0.0,Caravelle SA,family_investment_office,seed
3c62db15-4db8-016a-145e-dd1a06d168e2,0.2701712747663561,GV,"corporate_venture_capital,venture_capital",series_a
af0b809f-8c8c-037f-543e-eabb95833d6b,0.1729894472291669,8 Wings Ventures,venture_capital,series_a
93014318-0ad5-922a-e972-307f5be528b8,0.1729894472291669,Venture Capital Fund of New England,venture_capital,series_a
c2f59138-50e9-ea46-1778-9fc4f399f9b8,0.19544562917451286,SaaS Capital,venture_debt,debt_financing
091ce620-7776-ba9a-24b4-d7a67205acd1,0.22254189765145962,Edison Partners,venture_capital,series_unknown
c20da6f3-a7d4-3fbb-f3da-e4d7234f42f4,0.21155477642348794,Cipio Partners,"private_equity_firm,venture_capital",series_unknown
97449252-a660-f9a0-29a8-2ef014bbed3a,0.1769171930050038,Neuhaus Partners,venture_capital,series_unknown
715d424b-c4e7-121d-4ca7-316eac5ebef7,0.22218431400648814,St. Paul Venture Capital,"private_equity_firm,venture_capital",series_b
df4602f6-8315-172e-dc6b-93ac9bab5311,0.19578825422678087,AC Ventures,"micro_vc,venture_capital",series_unknown
0819a461-1f56-f753-c3b1-62c5161515ba,0.2158264396493419,BlackBerry Partners Fund,"micro_vc,venture_capital",series_c
0db5f73b-d80d-6be1-eb65-f7aefd5e06f7,0.22180528538679536,GrandBanks Capital,venture_capital,series_a
09a7e526-4d15-5ae4-ea0f-ac2760d8a805,0.2332682443048972,Singtel Innov8,corporate_venture_capital,series_b
1787528e-7bd3-a500-ba86-ac55205e7e21,0.25147664858307744,CRV,venture_capital,series_a
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,0.25276818081378793,Andreessen Horowitz,venture_capital,series_a
e383af22-89a1-07e5-a256-91de31854750,0.20335214602503296,Bertelsmann,,series_b
c0872592-7b64-ef9a-165f-a800364364a4,0.19722441891705653,Endeit Capital,venture_capital,series_a
32bfd583-66a8-7e81-60cd-9e063481e7b5,6.658676255160474e-05,Martin Randel,angel,series_unknown
523d7065-7faa-b631-dabe-8227a688159e,6.658676255160474e-05,AXA Investment Managers,,series_unknown
ef2caa7a-3662-ea80-7104-7afdd831ef0d,0.21098603946732514,Wellcome Trust,"government_office,venture_capital",grant
876284dc-393b-55ec-50bb-f85579d8e7c3,0.2178340772565424,Novo Holdings,venture_capital,series_b
61322e62-bd31-5d01-96da-2d78b513bdea,0.21452429530059072,Essex Woodlands Healthcare Partners,venture_capital,series_unknown
c0459f10-983e-f271-2b17-545cc1c528ee,0.20978188565155292,PAR Capital Management,hedge_fund,series_b
fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,0.2725208841758865,Benchmark,venture_capital,series_a
b915e540-3377-6a2a-651e-6fd7c0787e26,0.2626210419814412,TCV,private_equity_firm,series_unknown
e2a753f1-1247-b2f9-1f97-c5f2c1ec7b0a,0.2126547683038298,Legg Mason,venture_capital,series_c
c3ecb2e6-0cde-7422-392e-6783413c8e77,0.0,Endless LLP,private_equity_firm,private_equity
cd5c270c-95bb-1fa6-9c7e-5467284dc77d,0.0,Silvertree Internet Holdings,"private_equity_firm,venture_capital",series_unknown
d0246cd4-f168-13be-b3d5-ecfe7ce6d234,0.0,Quarizon,,seed
2c9af642-6995-eb15-533f-c5093b7be6f5,0.19301625381796883,YYX Capital,venture_capital,seed
2080e3e2-0fff-49c7-b6d1-34fa2e0e4440,0.0,Belt Road Capital Management,private_equity_firm,series_unknown
201d334c-4463-d56c-7737-435df78ae283,0.1861251727110159,Pantera Capital,venture_capital,seed
b7aa1de2-4228-2680-5f52-a94ae39e56e3,0.0,People's United Financial,,post_ipo_debt
6c2bbb22-5fa7-572e-92e7-ef5afb4c952a,0.1488543407475076,Defense Threat Reduction Agency (DTRA),,grant
80f53721-ba1e-47fe-17ec-958ebfbfadef,0.1850104613593507,Korea Investment Partners,"private_equity_firm,venture_capital",series_a
19911f49-37d3-a5f9-ef5a-c21ed98c34a3,0.20562249406520292,Comvest Partners,private_equity_firm,private_equity
d5df3873-7871-c608-0284-c74d0b555ccd,0.26890364809131956,Lightspeed Venture Partners,venture_capital,series_a
1d683608-7f41-c310-d155-0a1f9c16a706,0.0,Embed Capital,venture_capital,seed
b97d706a-02b0-a16e-84d1-b45b272dee29,0.2270427319858841,Opus Capital,venture_capital,series_a
