,investor_uuid,eigenvector_centrality
0,f908683c-5630-9ceb-e947-de13d2a04d3f,0.00012726065958739154
1,5a80638f-1e6e-bf9b-4605-a7f81e092a4e,1.0118958269239078e-05
2,ae4ad479-553b-666f-52bc-74d09e4686c2,0.001721613110425021
3,043d9e52-dcc0-0dd8-6074-206e42e20e13,0.09844988171533277
4,6421a781-2cfa-9793-a6cb-f2e44a1cf2d7,0.0029593479194703373
5,8866fad8-f339-97ff-f34b-eed98d43a2f0,0.05887541590419728
6,1d6b08a6-ec6e-83e1-c0c3-2806233ab926,0.01153685584014668
7,eb9ce478-e454-486d-9d1e-a4c53e655bdb,0.054612415283699034
8,30a0639d-7803-9929-b932-5ba14ce16bc2,0.009079676057446662
9,dbdafc98-7c6b-9cf1-b1bf-d3f590197dd1,0.013637620671942654
10,4ede174d-3254-8602-e977-d9c0bfe34433,0.009913062107603642
11,a578dcf9-859e-c8b5-2182-e3aa3c383b13,0.001694398264618964
12,87e297f8-53fd-a340-cbfc-6f34d3c62a86,0.036674536554465766
13,95489f22-86a1-65b2-e005-e6abeeaaf204,0.01332725803587973
14,37b009c8-09a8-e468-aa22-5e9d29fa8bc7,7.294184915676216e-05
15,0ed5402c-cad7-95b8-06be-e7cd30bda343,0.004808645964730909
16,ef2caa7a-3662-ea80-7104-7afdd831ef0d,0.008940312360076863
17,b6f269af-56f7-ef3e-6d91-15b749ffb8da,0.00026559545540479204
18,1eb5764e-21ca-9b3a-7e62-ffa6bd38b35d,0.005434468776294505
19,c400b921-7dbd-b2ef-471d-fcd5b2ec7737,0.004941776005090743
20,01b78c00-b6e2-7cbc-8286-8d14d09d441e,0.016262833044682207
21,016ca6fe-6b46-4439-5faa-9a861fc230ad,0.006404521290454916
22,4b9e6406-1f02-02b0-e18d-1b80a05915c6,0.00026559545540479204
23,ff52140c-8e45-09d2-ffe6-5d88ada416b7,0.0013878477831137828
24,edc34868-81d7-85a4-4403-4a393a6b12ff,9.328134596448744e-05
25,b482d581-6b55-14fb-ba9e-d70bcaa052a3,0.0002615343017595208
26,649bec8f-2732-b53a-526b-1bd65b3fc577,0.01677479649578434
27,d51c85c1-124a-e1ce-71f6-9b9ee60b8ab6,1.0555206850949181e-16
28,8cfbac93-4c8e-c63c-31a4-f035b99dc927,1.0555206850949181e-16
29,f87d7316-4a5f-d451-63a2-16f78670c6a4,1.0555206850949181e-16
30,0268c659-816e-00aa-2bc8-8f7b9fa5f86c,0.001172164238700699
31,14d134b9-3b1d-42ef-a3f0-cc8230ae0f8e,0.007664485562026858
32,27036576-8c1c-0ea7-f4e9-af41380af3e9,0.003809322584764732
33,97449252-a660-f9a0-29a8-2ef014bbed3a,0.00019306256034160496
34,7e3c6bff-b982-8d47-5560-4e8c73639a68,0.006733434350813684
35,e78f3bea-46de-d76b-6b95-c9134850d531,1.0555206850949181e-16
36,a29f8dbf-fd84-bf8c-f59b-16f1a105cbcf,1.0555206850949181e-16
37,d9be7566-c4c6-5f52-7749-cf12d207a1d7,1.0555206850949181e-16
38,34a9bb66-0984-8de0-e7fb-13e976b4a135,0.08573357089199227
39,0c867fde-2b9a-df10-fdb9-66b74f355f91,0.07180977735519967
40,661e1d89-1d8e-e0db-6bde-8d0ad52ceb7b,0.01133744310304531
41,3996362d-9b2f-f3a5-5836-82086df52b8a,0.0015953612028595013
42,230c4606-89eb-9e24-d5d7-e8f5e05c29d7,0.0015953612028595013
43,81e3a120-31ad-4be2-ebc0-950a202eebeb,0.0015953612028595013
44,a758ec51-e802-d12c-dbfe-ec447c3adf9e,0.0015953612028595013
45,05b695f9-f162-33f9-b780-d8a17568e73f,0.0015953612028595013
46,0806b922-380c-7483-6bbe-8f5d424c5fdd,0.0015953612028595013
47,bf17bad5-d904-3f89-9cce-e7732df2c62e,0.0015953612028595013
48,b75ffcc5-7312-6730-c3e1-ebcb565c722c,0.0015953612028595013
49,98e158f9-8bee-a447-c7f7-4cb7b0ef3ee8,0.00817123486294911
50,8c2904bd-f9a1-0f41-87db-16fae614ad2d,0.08799690027746236
51,40812e5d-2d87-5bcb-63a1-d9f6b8eca1ef,0.031153722511673834
52,a65d99b6-1bf5-5b72-feaa-eff24178778a,0.014150066513535252
53,b765a7e1-742a-e938-a0f2-329f66a011e4,0.07805028431161251
54,dca7a326-bb31-bd1e-1cb5-99de8959ad0c,0.0019346170985252353
55,47b84763-9727-7cdf-b194-2742e3963147,0.10546131788574174
56,bdd6b7d4-9846-d4e2-29d7-7e5acf17c034,0.003046860302867872
57,985d1d30-9137-0dd6-bcf8-f8f88fe82b3b,0.007970727812494154
58,dc154223-1129-1bd5-b265-7a78b970219d,0.0013853201319363414
59,d01715fc-f945-733c-cb72-147b7beb3e16,0.0067407907590534555
60,c61ec917-13b1-fa86-cf7d-88006a947914,0.012736417669441438
61,acbcbf31-1367-f841-6e49-f6f4a9654545,0.00010672690124397866
62,ea3167d4-a3ee-6519-8f41-af6b5b3d96a0,0.03437219353716534
63,b08efc27-da40-505a-6f9d-c9e14247bf36,0.08035012253108109
64,ea5de28f-7493-f605-c3fd-51965a5b5aba,0.025724845329345256
65,7468e6d9-c035-05d9-0133-f238f5308246,0.025187967858355274
66,449f82bf-b220-87e0-41c9-ef5160013834,0.012881120524282242
67,b04f02be-7db1-ce37-7371-5e83b87a5e6d,0.02527738296958524
